Area,Type,Rent,Date,BHK,Sosciety
Kothrud,semifurnished,35000,12/09/18,3BHK,Mahdkar Residency
Bavdhan,Unfurnished,13500,25/01/19,1BHK,Riddhi Inclave
Bavdhan,Unfurnished,22000,12/09/18,3BHK,StarGaze
Bavdhan,Unfurnished,19000,25/01/19,2BHK,StarGaze
Bavdhan,Unfurnished,22000,12/09/18,2BHK,Puranik scocity
Bavdhan,Unfurnished,18000,15/08/18,2BHK,Forest Trails
Shivajinagar,Furnished,25000,12/09/18,1BHK,NeetaChember
Katraj,Furnished,15000,15/08/18,1BHK,SwantVihar
Katraj,Furnished,10000,12/09/18,1BHK,Renuka
SadashivPeth,Furnished,21000,12/09/18,1BHK,Ratan
SadashivPeth,Furnished,18500,01/01/19,1BHK,RamBan Scociety
Kothrud,Furnished,16000,01/01/19,1BHK,SarthakSamrudhi
Dhayari,Furnished,7500,12/09/18,1BHK,Samruthi
Katraj,Furnished,12000,12/09/18,1BHK,WonderCity
Katraj,Furnished,10000,25/01/19,1BHK,Venktesh
Katraj,Furnished,11500,12/09/18,1BHK,Nikita
Kothrud,Furnished,17000,25/01/19,1BHK,IndependentHouse
KoregaoPark,Furnished,26000,25/01/19,1BHK,MantriAngan
KoregaoPark,Furnished,19000,12/09/18,1BHK,Laxminarayan
Kothrud,Furnished,20000,25/01/19,1BHK,Dahkurcolony
Dhayari,Furnished,7000,25/01/19,1BHK,Ganesh
SadashivPeth,Furnished,20000,12/09/18,1BHK,Sukhada
KoregaoPark,Furnished,20000,25/01/19,1BHK,PopularHeights
SadashivPeth,Furnished,22000,12/09/18,1BHK,Vadjal
Dhayari,Furnished,11000,25/01/19,2BHK,Preamia
Bavdhan,semifurnished,25000,12/09/18,2BHK,Nyati
Kothrud,semifurnished,24000,25/01/19,2BHK,ChaytanyaNagar
Katraj,semifurnished,15000,12/09/18,2BHK,WonderCity
Kothrud,semifurnished,20000,25/01/19,2BHK,Sanguri
Dhayari,semifurnished,12000,12/09/18,2BHK,Erica
Kothrud,semifurnished,16000,01/01/19,1BHK,Raigad
Kothrud,semifurnished,15000,01/01/19,1BHK,Bhijal
Kothrud,semifurnished,13000,12/09/18,1BHK,Gandharv
Bavdhan,semifurnished,20000,12/09/18,3BHK,Gloria
Kothrud,semifurnished,18000,25/01/19,2BHK,IndependentHouse
Katraj,semifurnished,12000,12/09/18,2BHK,Vasant
Kothrud,semifurnished,12000,25/01/19,1BHK,Suchita
Bavdhan,Furnished,27000,12/09/18,3BHK,Nyati
Bavdhan,Furnished,20000,25/01/19,3BHK,RidhiInclave
Bavdhan,Furnished,30000,12/09/18,3BHK,Nyati
Dhayari,Furnished,30000,25/01/19,3BHK,IndependentHouse
